,28xeuclidean,28xcosine,id
34,"[0.01952961 0.3454823  0.20904395 0.13392343 0.20306246 0.21344166
 0.00226702 0.36501192 0.18951434 0.15345304 0.22259207 0.23297127
 0.01726259 0.55452626 0.21155888 0.14241984 0.13204065 0.34774932
 0.34296738 0.41210641 0.42248561 0.20677694 0.06913903 0.07951823
 0.13619044 0.0103792  0.20532948 0.21570867]","[ 1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.]",de2k1rwl
35,"[0.14412277 0.164354   0.19460709 0.0488679  0.32729634 0.15703713
 0.18985481 0.30847677 0.33872985 0.19299067 0.18317357 0.01291436
 0.04573204 0.03025308 0.1154861  0.49165034 0.32139114 0.35420881
 0.14573918 0.52190343 0.35164422 0.38446189 0.37616424 0.20590504
 0.23872271 0.17025921 0.13744153 0.03281768]","[-1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1. -1. -1.
  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.]",dvw4pmpg
36,"[0.24387514 0.48532856 0.19821981 0.33462566 0.40453257 0.16651533
 0.15759555 0.24145342 0.04565532 0.09075052 0.16065743 0.07735981
 0.40147068 0.28710874 0.15070289 0.08079599 0.31881323 0.6429241
 0.13640585 0.20631275 0.03170449 0.35581536 0.06990691 0.16811033
 0.49222121 0.23801724 0.56212811 0.32411087]","[-1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1. -1.
  1.  1. -1. -1.  1. -1. -1. -1. -1.  1.]",evgj8hnz
37,"[0.68662494 0.12708887 0.18767345 0.2226485  0.53568847 0.34056966
 0.13140541 0.55953607 0.49895149 0.46397644 0.15093648 0.34605528
 0.55521953 0.06058457 0.09555963 0.40859959 0.21348079 0.00431654
 0.03497505 0.34801502 0.15289621 0.05626804 0.31303997 0.11792116
 0.09124309 0.19511881 0.40428305 0.20916425]","[-1.  1.  1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1.  1. -1.  1.  1.
  1. -1.  1.  1. -1.  1.  1. -1. -1.  1.]",ey6rvkee
38,"[0.47166597 0.78682833 0.02833697 0.1754482  0.01838271 0.14588826
 0.0673948  0.31516236 0.50000294 0.64711417 0.45328326 0.61755423
 0.40427117 0.8151653  0.96227653 0.76844562 0.93271659 0.71943353
 0.14711123 0.04671969 0.11755129 0.09573177 0.19383091 0.02955994
 0.242843   0.16427097 0.04901209 0.21328306]","[ 1.  1.  1. -1.  1. -1.  1.  1.  1. -1.  1. -1.  1.  1. -1.  1. -1.  1.
 -1.  1. -1.  1. -1.  1. -1. -1.  1. -1.]",ff7sbzen
39,"[0.12819271 0.31559351 0.04731564 0.45822683 0.3058289  0.46991536
 0.21403745 0.1874008  0.17550835 0.33003412 0.17763619 0.34172265
 0.08584474 0.36290915 0.14263332 0.00976461 0.15432185 0.10155606
 0.50554247 0.35314454 0.517231   0.26135309 0.15239793 0.01168853
 0.24418938 0.16408646 0.09179145 0.25587791]","[-1. -1.  1. -1. -1. -1. -1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.]",fo7s5x1o
40,"[0.29893886 0.08179775 0.12664363 0.20125225 0.11598399 0.02245703
 0.51278056 0.21714111 0.17229523 0.0976866  0.18295486 0.32139589
 0.21384171 0.04484588 0.1194545  0.03418624 0.10425478 0.43098281
 0.07460862 0.01065964 0.14910066 0.38613693 0.08526826 0.22370929
 0.31152831 0.13844103 0.39679657 0.5352376 ]","[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1.
  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.]",ft6u82q5
41,"[0.5873583  0.75019968 0.48518992 0.3450052  0.50837576 0.81068578
 0.81890452 0.16284138 0.10216837 0.2423531  0.07898253 0.22332749
 0.23154622 0.26500975 0.40519448 0.24182391 0.06048611 0.06870484
 0.14018472 0.02318584 0.32549586 0.3337146  0.16337056 0.46568058
 0.47389932 0.30231002 0.31052876 0.00821874]","[-1. -1. -1.  1. -1. -1. -1.  1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1.
 -1.  1.  1.  1. -1. -1. -1.  1.  1.  1.]",fzqyj3f9
42,"[0.31090241 0.03449665 0.28293335 0.16778589 0.10139082 0.17671902
 0.47905953 0.34539906 0.02796906 0.14311652 0.20951159 0.13418339
 0.16815712 0.31743    0.20228254 0.13588747 0.21121567 0.51355618
 0.11514746 0.18154253 0.10621433 0.19612618 0.06639507 0.00893313
 0.31127364 0.07532819 0.37766871 0.30234051]","[-1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1.
 -1. -1. -1.  1.  1.  1. -1.  1. -1. -1.]",g7gmcvts
43,"[0.05171251 0.03503291 0.03840703 0.25647495 0.11660824 0.15790383
 0.07500169 0.08674541 0.01330548 0.30818746 0.16832075 0.20961634
 0.02328919 0.07343993 0.22144204 0.08157533 0.12287092 0.1100346
 0.29488198 0.15501527 0.19631086 0.03659467 0.13986671 0.09857112
 0.33147664 0.04129559 0.19160993 0.23290552]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]",gcp4ws1h
44,"[0.09455761 0.4080953  0.10915197 0.43956211 0.34405643 0.33369803
 0.12041048 0.50265291 0.01459436 0.53411973 0.43861404 0.42825565
 0.2149681  0.51724727 0.03146681 0.06403887 0.07439727 0.28768482
 0.54871409 0.4532084  0.44285001 0.22956246 0.09550568 0.10586408
 0.31915163 0.01035839 0.22364594 0.21328755]","[ 1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.]",gdkxx25b
45,"[0.55922723 0.60111678 0.46158683 0.3156753  0.3064035  0.27860413
 0.08399847 0.04188955 1.02081406 0.24355192 0.25282373 0.28062309
 0.6432257  1.06270361 0.28544147 0.29471327 0.32251264 0.68511525
 0.77726214 0.76799034 0.74019097 0.37758836 0.0092718  0.03707117
 0.39967377 0.02779937 0.39040197 0.36260261]","[-1. -1.  1. -1. -1. -1.  1.  1. -1.  1.  1.  1. -1. -1.  1.  1.  1. -1.
 -1. -1. -1.  1.  1.  1. -1.  1. -1. -1.]",gssd0zh7
46,"[0.10845645 0.39579488 0.20076098 0.26635732 0.07235743 0.05055762
 0.1967072  0.28733844 0.09230453 0.15790087 0.03609902 0.05789883
 0.30516365 0.19503391 0.12943757 0.32343745 0.34523726 0.59250209
 0.06559634 0.12840354 0.15020335 0.39746818 0.19399989 0.2157997
 0.46306452 0.02179981 0.26906464 0.24726482]","[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1.
  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.]",i8ugf9rk
47,"[0.8111476  0.1473437  0.11426836 0.28693468 0.0866693  0.72024542
 0.54603632 0.66380391 0.92541596 0.52421292 0.7244783  0.09090218
 0.26511128 0.26161206 0.13959099 0.0606744  0.57290173 0.39869262
 0.40120304 0.20093766 0.83451378 0.66030468 0.20026539 0.43331074
 0.25910164 0.63357612 0.45936702 0.1742091 ]","[-1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1. -1.
  1.  1. -1. -1.  1. -1. -1. -1. -1.  1.]",it0clbqf
48,"[0.09340332 0.19689386 0.33580028 0.40671678 0.07333741 0.17731018
 0.05031264 0.29029718 0.4292036  0.5001201  0.16674073 0.27071351
 0.14371596 0.13890642 0.20982292 0.12355645 0.01958367 0.14658122
 0.0709165  0.26246287 0.15849009 0.28548764 0.33337937 0.2294066
 0.35640414 0.10397278 0.02302477 0.12699755]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]",j7r62b5k
49,"[0.07254307 0.94057083 0.26322889 0.12344222 0.26464027 0.99206203
 0.05650486 0.86802776 0.19068582 0.05089915 0.1920972  0.91951896
 0.01603821 0.67734194 0.81712861 0.67593056 0.0514912  0.88406597
 0.13978667 0.00141138 0.72883314 0.20672403 0.14119805 0.86861981
 0.06693736 0.72742176 0.20813541 0.93555717]","[ 1. -1.  1.  1.  1. -1.  1. -1.  1.  1.  1. -1.  1. -1. -1. -1.  1. -1.
  1.  1. -1.  1.  1. -1.  1. -1.  1. -1.]",kzlrvd2x
